delivery_time,discounted_price,image_url,name,original_price,price,quantity
1 hr,৳ 45,https://chaldn.com/_mpimage/misti-kumra-fali-sweet-pumpkin-slice-40-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28900&q=low&v=1&m=400,Misti Kumra Fali (Sweet Pumpkin Slice) ± 40 gm,৳ 55,৳ 45,1 kg
1 hr,৳ 79,https://chaldn.com/_mpimage/deshi-ada-local-ginger-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163274&q=best&v=1&m=400,Deshi Ada (Local Ginger) ± 25 gm,৳ 99,৳ 79,500 gm
1 hr,N/A,https://chaldn.com/_mpimage/shosha-cucumber-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64357&q=best&v=1&m=400,Shosha (Cucumber) ± 25 gm,N/A,৳ 49,500 gm
1 hr,৳ 15,https://chaldn.com/_mpimage/kolmi-shak-water-spinach-1-bundle?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28561&q=low&v=1&m=400&m=400,Kolmi Shak (Water Spinach),৳ 19,৳ 15,1 bundle
1 hr,৳ 65,https://chaldn.com/_mpimage/gol-lebu-round-lemon-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54834&q=low&v=1&m=400,Gol Lebu (Round Lemon),৳ 100,৳ 65,4 pcs
1 hr,৳ 45,https://chaldn.com/_mpimage/green-capsicum-15-gm-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28574&q=low&v=1&m=400,Green Capsicum ± 15 gm,৳ 65,৳ 45,300 gm
1 hr,৳ 39,https://chaldn.com/_mpimage/misti-alu-sweet-potato-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54835&q=best&v=1&m=400,Misti Alu (Sweet Potato) ± 25 gm,৳ 45,৳ 39,500 gm
1 hr,N/A,https://chaldn.com/_mpimage/mula-radish-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D120817&q=best&v=1&m=400,Mula (Radish) ± 25 gm,N/A,৳ 29,500 gm
1 hr,৳ 75,https://chaldn.com/_mpimage/lau-bottle-gourd-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28573&q=low&v=1&m=400,Lau (Bottle Gourd),৳ 85,৳ 75,each
1 hr,N/A,https://chaldn.com/_mpimage/beetroot-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D35682&q=low&v=1&m=400,Beetroot ±25 gm,N/A,৳ 45,500 gm
1 hr,৳ 65,https://chaldn.com/_mpimage/lomba-kalo-begun-long-brinjal-black-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D43558&q=low&v=1&m=400,Lomba Kalo Begun (Long Brinjal Black) ± 25 gm,৳ 70,৳ 65,500 gm
1 hr,N/A,https://chaldn.com/_mpimage/borboti-long-bean-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D22410&q=low&v=1&m=400&m=400,Borboti (Long Bean) ± 25 gm,N/A,৳ 69,500 gm
1 hr,৳ 55,https://chaldn.com/_mpimage/chichinga-snake-gourd-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28583&q=low&v=1&m=400,Chichinga (Snake Gourd) ± 25 gm,৳ 60,৳ 55,500 gm
1 hr,৳ 19,https://chaldn.com/_mpimage/lal-alu-red-potato-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D93643&q=best&v=1&m=400,Lal Alu (Red Potato) ± 25 gm,৳ 25,৳ 19,500 gm
1 hr,N/A,https://chaldn.com/_mpimage/kochur-mukhi-taro-roots-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28965&q=low&v=1&m=400,Kochur Mukhi (Taro Roots) ± 25 gm,N/A,৳ 45,500 gm
1 hr,N/A,https://chaldn.com/_mpimage/potato-regular-25-gm-600-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D164303&q=best&v=1&m=400,Potato Regular (± 25 gm),N/A,৳ 13,600 gm
1 hr,N/A,https://chaldn.com/_mpimage/sobuj-gol-begun-round-brinjals-green-35-gm-700-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28795&q=low&v=1&m=400,Sobuj Gol Begun (Round Brinjals Green) ±35 gm,N/A,৳ 75,700 gm
1 hr,N/A,https://chaldn.com/_mpimage/ada-imported-ginger-25-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163146&q=best&v=1&m=400,Ada (Imported Ginger) ± 25 gm,N/A,৳ 55,250 gm
1 hr,৳ 9,https://chaldn.com/_mpimage/thankuni-pata-pennywort-leaves-1-bundle?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28578&q=low&v=1&m=400,Thankuni Pata (Pennywort Leaves),৳ 15,৳ 9,1 bundle
1 hr,৳ 49,https://chaldn.com/_mpimage/kacha-kola-banana-green-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183804&q=low&v=1&m=400,Kacha Kola (Banana Green),৳ 65,৳ 49,4 pcs
1 hr,N/A,https://chaldn.com/_mpimage/korola-bitter-gourd-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D22416&q=low&v=1&m=400,Korola (Bitter Gourd) ± 25 gm,N/A,৳ 119,500 gm
1 hr,৳ 55,https://chaldn.com/_mpimage/peyaj-pata-spring-onion-12-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D18770&q=low&v=1&m=400,Peyaj Pata (Spring Onion) ± 12 gm,৳ 65,৳ 55,250 gm
1 hr,N/A,https://chaldn.com/_mpimage/roshun-garlic-imported-25-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163966&q=best&v=1&m=400,Roshun (Garlic Imported) ± 25 gm,N/A,৳ 55,250 gm
Next Day,৳ 19,https://chaldn.com/_mpimage/mula-shak-radish-spinach-1-bundle?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D88134&q=best&v=1&m=400&m=400,Mula Shak (Radish Spinach),৳ 25,৳ 19,1 bundle
1 hr,৳ 79,https://chaldn.com/_mpimage/kalo-gol-begun-round-brinjals-black-35-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D7893&q=best&v=1&m=400,Kalo Gol Begun (Round Brinjals Black) ±35 gm,৳ 100,৳ 79,800 gm
1 hr,৳ 79,https://chaldn.com/_mpimage/uchche-local-bitter-gourd-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D15396&q=low&v=1&m=400,Uchche (Local Bitter Gourd) ± 25 gm,৳ 85,৳ 79,500 gm
1 hr,৳ 45,https://chaldn.com/_mpimage/pui-shak-pui-spinach-1-bundle?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D7071&q=low&v=1&m=400&m=400,Pui Shak (Pui Spinach),৳ 50,৳ 45,1 bundle
1 hr,৳ 45,https://chaldn.com/_mpimage/deshi-ada-local-ginger-25-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163145&q=best&v=1&m=400,Deshi Ada (Local Ginger) ± 25 gm,৳ 55,৳ 45,250 gm
1 hr,৳ 29,https://chaldn.com/_mpimage/pudina-pata-mint-leaves-10-gm-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D7827&q=low&v=1&m=400,Pudina Pata (Mint Leaves) ± 10 gm,৳ 45,৳ 29,100 gm
